OWNER_NAME,owner_id
PATCHEN & BROADWAY LLC,164
PAULSON FAMILY TRUST,165
"PAWLOWSKI, EDWIN T",166
PITKIN HOSPITALITY MANAGEMENT NY LLC,167
"PREMIER 130 DUANE, LLC",168
"QUIGLEY, JAMES",169
R A J MOTEL INC,170
"RATAN REALTY LLC, A NJ LIMITED LIABILITY  CORP",171
"RESNICK, BRIAN MATTHEW",172
RESTITUTO N. ESTACIO,173
RHC OPERATING LLC,174
RIAM REALTY LLC,175
"ROBERT A. MCCABE, JR., AS TRUSTEE",176
"SALLY S. MILLER, TRUSTEE",177
SAMCOM 48 DE LLC,178
"SAMUELS, MARC",179
"SCHOEN, DOUGLAS E",180
SHAHEN GUIRAGOSSIAN,181
SODERMALM TRUST,182
SOHO 1111 LLC,183
"ST REGIS RESIDENCE CLUB, NEW YORK INC.",184
SUNRAISE EQUITY GROUP LLC,185
SURREY ASSOCIATES,186
SURREY PROPCO LLC,187
SY GROUP I LLC,188
T. PARK CENTRAL,189
TANG-FONG FRANK WONG,190
"TELLURIDE MOUNTAIN HOLDINGS, LLC",191
THATITH LLC,192
THE ANNE MATHEWS REVOCABLE TRUST,193
THE BROWN BIRD REALTY TRUST,194
THE CITY OF NEW YORK,195
THE GEOFF A. SMITH REVOCABLE TRUST,196
THE LAURETTA ALIO IRREVOCABLE TRUST,197
THE MANHATTAN TIMESHARE ASSOCIATION INC,198
THE NEW SCHOOL,199
THE TRUSTEES OF COLUMBIA UNIV. IN THE CI TY OF NY,200
TJP LIVING TRUST,201
TMHCR 48TH STREET LLC,202
"TODD LOGAN SELF-DECLARATION OF TRUST,DAT ED 6/20/11",203
"TOKUYAMA, SEIYA",204
"TORRES, JOSE L",205
TRUSTEES OF COLUMBIA UNIVERSITY,206
UMBRELLA INVESTORS LLC,207
UNAVAILABLE OWNER,208
"URSACHE, LEONARD",209
"VI NETWORK INC, A FLORIDA CORPORATION",210
VIRENDRA J JUTHANI TRUSTEE,211
WESTHEIMER FAMILY TRUST DATED 12/19/2008,212
WHITESTONE HOSPITALITY LLC,213
"WILLIAM FRIEDBERG, AS TRUSTEE",214
YAL BUSH LLC,215
YJL BROADWAY HOTEL LLC,216
YS 440W57 OWNER LLC,217
"ZHOU, XUHUA",218
