Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
50086079,SUNSHINE PARADISE,Brooklyn,UTICA AVENUE,11203,N
40925478,BELLA VIA,Queens,VERNON BOULEVARD,11101,A
40608746,KANA TAPAS BAR & RESTAURANT,Manhattan,SPRING STREET,10013,A
50094131,ESSEX RESTAURANT,Manhattan,RIVINGTON STREET,10002,C
41447856,WILD,Manhattan,HUDSON STREET,10014,A
50017187,SUBWAY,Queens,LIBERTY AVE,11435,A
41551369,CHA PA'S VIETNAMESE EATERY,Manhattan,WEST   52 STREET,10019,B
50005883,EIM KHAO MUN KAI,Queens,BROADWAY,11373,A
41322588,COLD STONE CREAMERY,Staten Island,RICHMOND AVENUE,10314,A
50061258,COR THAI YOU,Brooklyn,CORTELYOU ROAD,11226,B
41650717,ANDY'S CAFETERIA,Brooklyn,CLARKSON AVENUE,11203,A
40823209,COMIC STRIP LIVE,Manhattan,2 AVENUE,10028,B
50105961,KAHVE,Manhattan,WEST   51 STREET,10019,A
50047407,EAT PRODUCTIONS,Brooklyn,BEDFORD AVENUE,11205,C
41693861,ACE BAGEL & DELI,Queens,NORTHERN BOULEVARD,11362,A
50066094,PS KITCHEN,Manhattan,WEST   48 STREET,10036,A
50002039,KABIR'S BAKERY,Brooklyn,FOSTER AVENUE,11230,P
50013521,E E BAKERY,Brooklyn,20 AVENUE,11204,A
41350559,"BURGER KING, POPEYES",Bronx,METROPOLITAN OVAL,10462,A
50084441,CAVA GRILL,Manhattan,BROADWAY,10018,A
50065695,MR. Q'S,Bronx,WILLIAMSBRIDGE ROAD,10461,B
40366230,DON PEPPE,Queens,LEFFERTS BOULEVARD,11420,A
50078153,FRESH TWIST,Staten Island,NEW DORP LANE,10306,A
41543951,MABLE'S SMOKEHOUSE AND BANQUET HALL,Brooklyn,BERRY STREET,11249,A
41463477,DUNKIN & BASKIN ROBBINS,Staten Island,FOREST AVENUE,10310,A
41515681,KEE WANG RESTAURANT,Bronx,VALENTINE AVENUE,10457,A
50100405,MUDFLOW,Brooklyn,8 AVENUE,11220,A
50103792,MISSION BUENA NUTRICION,Queens,103RD ST,11369,N
41383250,OSAKA JAPANESE FUSION,Queens,BROADWAY,11106,A
41418978,BAGEL EXPRESS III,Manhattan,3 AVENUE,10010,A
50038896,BOISHAKHI,Queens,36TH AVE,11106,A
50041609,NEW VEGETARIAN PALATE,Brooklyn,WASHINGTON AVENUE,11238,A
50019198,NOODLE HOUSE,Queens,MARATHON PKWY,11362,A
40756287,BARBARESCO,Manhattan,LEXINGTON AVENUE,10065,A
41305175,PANERA BREAD,Staten Island,VETERANS ROAD WEST,10309,A
50015953,GREEK GRILL,Queens,CROSSBAY BLVD,11414,A
50046762,PASSAGE,Queens,30TH AVE,11103,A
50042441,MCDONALD'S,Brooklyn,NOSTRAND AVENUE,11210,A
50087615,JAPAS NY,Manhattan,EAST   38 STREET,10016,A
50056312,PUNTO SABROSO BAKERY,Brooklyn,FULTON STREET,11208,A
41428295,FACULTY HOUSE,Manhattan,MORNINGSIDE DRIVE,10027,A
41701618,FELICE,Manhattan,GOLD STREET,10038,A
41030615,SERAFINA BROADWAY,Manhattan,WEST   55 STREET,10019,A
41509875,LAKRUWANA SRI LANKA UNDER ONE ROOF,Staten Island,BAY STREET,10304,A
50113104,BLU SEAFOOD RESTAURANT & BAR,Queens,MERRICK BLVD,11413,N
50096025,L'ACCOLADE,Manhattan,BLEECKER STREET,10014,N
50093379,POPEYES,Manhattan,DYCKMAN STREET,10040,A
50047783,CAPPONE'S SALUMERIA,Manhattan,NEW YORK PLAZA,10004,A
41362530,H&H BAGELS,Queens,JFK INTL. AIRPORT,11430,A
50068377,HELL'S CHICKEN,Manhattan,10 AVENUE,10036,A
41487738,MEXICAN RESTAURANT,Manhattan,LEXINGTON AVENUE,10029,B
50041641,NARUTO RAMEN,Manhattan,BROADWAY,10025,A
50082152,PELICANA CHICKEN,Manhattan,WEST   32 STREET,10001,A
50113322,3 TIMES,Manhattan,BROADWAY,10003,N
50048304,13106 GRAND EVERGREEN CHINESE RESTAURANT,Queens,ROCKAWAY BLVD,11420,A
41405368,DYLAN MURPHY'S,Manhattan,3 AVENUE,10028,A
41385576,AU BON PAIN,Queens,76 AVENUE,11004,A
50034294,PANADERIA LA AUTENTICA,Brooklyn,86 STREET,11214,A
41406255,"KFC, TACO BELL",Manhattan,BROADWAY,10031,A
41269792,PRETZEL KING,Queens,165 STREET,11432,A
50086207,ANYTIME KARAOKE,Manhattan,WEST   32 STREET,10001,A
50014098,DUNKIN DONUTS,Brooklyn,BROADWAY,11211,A
50002902,ELI'S ESSENTIALS,Manhattan,LEXINGTON AVENUE,10028,A
50018553,TEXAS FRIED CHICKEN,Manhattan,8 AVENUE,10026,A
50057481,FINE & RARE,Manhattan,EAST   37 STREET,10016,A
50013579,THAI BASIL,Brooklyn,NOSTRAND AVENUE,11229,A
41677944,CONRAD FAMOUS BAKERY,Brooklyn,UTICA AVENUE,11213,B
50070808,DOWNEY'S BAR & GRILL,Bronx,MOSHOLU AVENUE,10471,A
50015204,HOOTERS,Manhattan,WEST   33 STREET,10001,A
50092940,HARLEM WINE ROOM,Manhattan,BROADWAY,10031,B
50093478,AMAR PERUVIAN KITCHEN,Queens,AUSTIN ST,11375,A
50075182,NEW YORK CITY BAGEL COFFEE HOUSE,Queens,30TH AVE,11103,A
50074533,THE LEIF BAR,Brooklyn,5 AVENUE,11220,C
50037537,5TH AVENUE ASIAN TASTE RESTAURANT,Brooklyn,5 AVENUE,11215,A
41212798,CHOKOLAT PATISSERIE,Manhattan,BROADWAY,10027,A
50079294,KENNEDY FRIED CHICKEN,Bronx,WHITE PLAINS ROAD,10470,A
50063916,BOSNA EXPRESS,Queens,FAIRVIEW AVENUE,11385,A
41418437,FORT DEFIANCE,Brooklyn,VAN BRUNT STREET,11231,B
41311922,HAPPY FRESH TORTILLA GRILL,Brooklyn,7 AVENUE,11215,A
50094703,SUSPENDERS,Manhattan,GREENWICH STREET,10006,A
40395505,PORTO PRINCE STAR RESTAURANT,Queens,LINDEN BOULEVARD,11411,B
50011150,GUERRERO'S GROCERY & DELI,Brooklyn,AVENUE U,11223,A
41554263,POPEYES,Queens,HILLSIDE AVENUE,11423,A
50053533,VIP GRILL,Brooklyn,13 AVENUE,11218,A
50070543,CLARO,Brooklyn,3 AVENUE,11215,A
50037167,SOFRITO,Manhattan,RIVERSIDE DRIVE,10031,A
50084878,HUNAN WEST,Brooklyn,STRICKLAND AVENUE,11234,A
50001842,AMAZE,Manhattan,EAST   58 STREET,10022,C
41211622,MCDONALD'S,Manhattan,BROADWAY,10025,A
50018562,BURGER TIME,Bronx,MORRIS PARK AVENUE,10461,A
40814843,TRUFA RESTAURANT,Manhattan,BROADWAY,10031,B
50001732,KING WOK,Queens,FRANCIS LEWIS BOULEVARD,11358,A
41468724,CHINA WANG RESTAURANT,Bronx,WEST 225 STREET,10463,A
50074936,SABAI,Manhattan,PARK AVENUE SOUTH,10016,A
50040533,CHELSEA CREAMLINE,Manhattan,9 AVENUE,10011,B
40813690,SILVER MOON BAKERY,Manhattan,BROADWAY,10025,A
40366425,NAOMI KOSHER PIZZA,Queens,MAIN STREET,11367,A
41591436,RESORTS WORLD CASINO GROUND LEVEL ( EMPLOYEE DINING),Queens,ROCKAWAY BOULEVARD,11420,A
41273144,LA COLOMBE TORREFACTION,Manhattan,CHURCH STREET,10013,A
40838693,BUBBY'S,Manhattan,HUDSON STREET,10013,A
50054609,CHINA WOK III,Bronx,WEBSTER AVE,10458,A
50060086,QDOBA MEXICAN EATS,Staten Island,WOODROW ROAD,10309,A
50017309,BREAD & BUTTER,Manhattan,PARK AVENUE SOUTH,10016,B
41722445,MIDNIGHTS,Brooklyn,NORTH    6 STREET,11249,A
50001063,PENNYLANE COFFEE,Manhattan,EAST   45 STREET,10017,A
41683734,DUNKIN DONUTS,Queens,KISSENA BOULEVARD,11355,A
41572874,SOMETHING'S COOKING CATERING,Queens,39 AVENUE,11101,A
41653951,MARIA'S MEXICAN RESTAURANT,Brooklyn,CONEY ISLAND AVENUE,11230,P
50112304,DUTCH POT CARIBBEAN GRILL,Queens,165TH ST,11433,A
41396660,NATHAN'S FAMOUS (STAND 312),Bronx,EAST  161 STREET,10451,A
40678995,TANDOORI FOOD & BAKERY,Queens,63 ROAD,11374,B
50017147,HARRY'S DELI,Queens,LA GUARDIA AIRPORT,11369,A
50001172,POPEYES,Queens,FARMERS BOULEVARD,11412,A
50075350,PRIK THAI KITHCEN,Queens,30 AVENUE,11103,A
41721343,COFFEE SHOP DINER,Manhattan,EAST   14 STREET,10009,B
50003233,HAPPY WOK,Manhattan,AVENUE C,10009,A
50076770,CHEF TORIBIO RESTAURANT,Brooklyn,WILSON AVENUE,11221,A
50076337,ANEMOS,Queens,34TH AVE,11101,B
40927513,ISLA OF VERDE CAFE,Bronx,WESTCHESTER AVENUE,10472,A
50046987,PANADERIA MELISSA BAKERY,Brooklyn,5 AVENUE,11220,A
50009868,16 HANDLES,Manhattan,1 AVENUE,10065,A
41709400,FU LAI O KITCHEN,Brooklyn,3 AVENUE,11220,Z
50097184,TACO DUMBO,Manhattan,WEST   47 STREET,10036,A
50002542,DUNKIN DONUTS,Queens,JFK INTERNATIONAL AIRPORT,11430,A
50008310,DESI GALLI,Manhattan,LEXINGTON AVENUE,10016,B
50003570,M. WELLS STEAKHOUSE,Queens,CRESCENT ST,11101,A
41520844,POP'S COFFEE DINER,Queens,KISSENA BOULEVARD,11355,C
41644987,AMARONE RESTAURANT,Manhattan,9 AVENUE,10036,A
50000348,GINO'S PIZZA EXPRESS,Queens,DRY HARBOR RD,11379,A
50078659,INTERLUDE CAFE,Manhattan,HUDSON STREET,10013,A
41576495,EL POLLO INKA PERU,Queens,NORTHERN BOULEVARD,11372,B
50053112,MODERN LOVE,Brooklyn,UNION AVENUE,11211,A
50041331,SAKE BAR HAGI 46,Manhattan,WEST   46 STREET,10036,B
50008834,DUNKIN DONUTS,Bronx,WESTCHESTER AVENUE,10472,A
50010580,MARCONI'S PIZZA & PASTA,Bronx,EAST GUN HILL ROAD,10467,A
50100245,TRI LOUNGE & CAFE,Staten Island,CLOVE ROAD,10304,N
50074520,EL POLLO INKA PERU,Queens,101ST AVE,11416,C
41570817,PATZERIA FAMILY & FRIENDS,Manhattan,WEST   48 STREET,10036,A
50093804,ABIDE BROOKLYN PITA,Brooklyn,7 AVENUE,11215,A
41104783,BUDEPEST CAFE,Manhattan,2 AVENUE,10028,C
50043211,AMERITTANIA,Manhattan,WEST   54 STREET,10019,A
50063599,CUAUTLA MORELOS RESTAURANT,Staten Island,PORT RICHMOND AVENUE,10302,A
50092340,SZECHUAN DELIGHT NY,Brooklyn,86 STREET,11228,A
41705740,CUCUMBER,Staten Island,HYLAN BOULEVARD,10308,A
40649377,CANALETTO RISTORANTE,Manhattan,EAST   60 STREET,10022,A
41374711,NEW TU DO RESTAURANT,Manhattan,BOWERY,10013,B
50050099,JIMMY'S DELI & GRILL,Brooklyn,FORT HAMILTON PARKWAY,11219,A
50089231,DUNKIN DONUTS,Manhattan,3 AVENUE,10016,A
50043677,CAFFE BENE,Queens,37TH AVE,11372,A
50082407,GRANDMA'S ORIGINAL PIZZERIA,Brooklyn,3 AVENUE,11209,B
50101923,Wanyoo Cyber Cafe,Manhattan,SAINT MARKS PLACE,10003,N
40945325,POPEYES,Brooklyn,SOUTH CONDUIT BOULEVARD,11208,A
50038206,PICKLER & CO,Manhattan,EAST   45 STREET,10017,A
50037942,THE EVERGREEN,Brooklyn,MOFFAT STREET,11207,C
50035638,DUMPLING LEGEND,Queens,UNION TPKE,11366,A
50112504,XI'AN NOODLE FOOD,Queens,ROOSEVELT AVE,11354,N
50065525,TOP CHOICE JAMAICAN RESTAURANT,Bronx,LYDIG AVENUE,10462,A
50043234,SUPER TACO,Brooklyn,KINGS HIGHWAY,11223,B
50070412,CROWN FRIED CHICKEN,Bronx,UNIONPORT ROAD,10462,B
50008878,GENARO'S PIZZERIA AND RESTAURANT,Queens,COLLEGE POINT BLVD,11356,A
50087322,LAS AMERICAS BAKERY,Queens,82ND ST,11373,A
41541793,SOPHIE'S CUBAN CUISINE,Manhattan,WEST   45 STREET,10036,A
41608757,GREAT WALL,Bronx,WHITE PLAINS ROAD,10462,A
50042783,DUNKIN DONUTS,Queens,NORTHERN BLVD,11358,A
50087361,PROOF COFFEE ROASTERS,Manhattan,7 AVENUE,10030,C
50103415,THE VILLAGE SALOON,Queens,ELIOT AVE,11379,N
41630104,LUCKY CHINESE RESTAURANT,Queens,69 STREET,11377,A
41164361,BEST ITALIAN PIZZA,Bronx,EAST FORDHAM ROAD,10458,A
50011083,SUBWAY,Manhattan,WATER STREET,10004,A
41457591,ROSSY'S BAKERY & COFFEE SHOP,Manhattan,EAST    3 STREET,10009,A
50042767,DHAKA RESTAURANT,Queens,HILLSIDE AVE,11432,B
40534973,LIMITLESS FITNESS,Queens,CROSSBAY BOULEVARD,11414,A
40392766,BERGEN BEACH CAFE,Brooklyn,AVENUE U,11234,A
40800483,STEP IN RESTAURANT & LOUNGE,Bronx,METROPOLITAN AVENUE,10462,A
41690780,CAFE EVERGREEN,Manhattan,1 AVENUE,10021,A
50063053,SUSHI K BAR BP,Brooklyn,16 AVENUE,11204,A
50002024,AZIZA 7 CAFE,Brooklyn,AVENUE Z,11235,A
50069897,KENNEDY FRIED CHICKEN,Manhattan,WEST  145 STREET,10039,A
50087189,XUN YU SI KAO QUEENS,Queens,37TH AVE,11354,A
41056164,CACIO & PEPE,Manhattan,2 AVENUE,10003,A
41171542,NATIONAL BAKERY,Bronx,ALLERTON AVENUE,10467,A
50070576,BROOKLYN ROASTING COMPANY,Brooklyn,WASHINGTON AVENUE,11205,A
50042225,LE GARAGE,Brooklyn,CENTRAL AVENUE,11221,A
50004349,KFC,Queens,NORTHERN BLVD,11354,A
41010148,NEW LANE PIZZERIA,Queens,JAMAICA AVENUE,11421,A
40399057,9TH AVE SALOON,Manhattan,9 AVENUE,10036,A
41650198,HINOMARU RAMEN,Queens,DITMARS BOULEVARD,11105,B
50001531,HANE SUSHI,Manhattan,1 AVENUE,10009,A
40396445,POLLOS A LA BRASA MARIO,Queens,ROOSEVELT AVENUE,11372,A
50093674,CAFE KITSUNE,Manhattan,HUDSON STREET,10014,A
50013581,GOOGLE LAPLACE,Manhattan,8 AVENUE,10011,A
41711983,IRISH WHISKEY BAR,Queens,31 STREET,11102,A
50078221,CROWN FRIED CHICKEN,Brooklyn,NEW LOTS AVENUE,11207,A
50046867,PICNIC WORLD CORP,Queens,NORTHERN BLVD,11358,B
40719669,GENNARO'S CATERING HALL,Brooklyn,13 AVENUE,11219,A
50068854,BAGEL CORNER,Bronx,WEST  235 STREET,10463,A
41410925,CROWN FRIED CHICKEN,Queens,HILLSIDE AVENUE,11423,C
50077695,ABOUT COFFEE,Brooklyn,STATE STREET,11201,A
50075297,EIGHT BEAUTITUDES KOREAN RESTAURANT #18,Queens,ROOSEVELT AVENUE,11354,B
50098760,KITAKATA RAMEN BANNAI,Manhattan,AMSTERDAM AVENUE,10023,N
41459513,BUONGIORNO ESPRESSO BAR,Manhattan,9 AVENUE,10018,A
50015229,TACUBA CANTIINA MEXICANA,Queens,36TH ST,11106,A
41148810,TROPICAL SPANISH RESTAURANT,Manhattan,BROADWAY,10032,A
50053326,MIRAKUYA,Brooklyn,FLUSHING AVENUE,11206,A
50076656,BUNNY,Brooklyn,NOSTRAND AVENUE,11216,A
50086128,ORCHID TEA CAFE,Brooklyn,7 AVENUE,11220,A
41247133,MERMELSTEIN CATERERS,Brooklyn,KINGSTON AVENUE,11213,B
50043715,PAT LAFRIEDA MEAT PURVEYORS,Manhattan,PENN PLAZA,10121,A
50073820,ROSE FLOWER KITCHEN,Bronx,BEDFORD PARK BOULEVARD,10458,A
41622930,DUN-WELL DOUGHNUTS,Brooklyn,MONTROSE AVENUE,11206,A
50069477,SPICE WORLD,Queens,ROOSEVELT AVENUE,11354,B
50005477,CHINA FUN CHINESE RESTAURANT,Queens,101ST AVE,11416,A
41263122,THE COFFEE HOUSE,Manhattan,WEST   44 STREET,10036,A
50052772,NEW CHINA HOUSE,Bronx,WEST  183 STREET,10453,A
50044930,CAFE DELECTICA,Manhattan,3 AVENUE,10016,A
50046424,DOUBLE ZERO,Manhattan,2 AVENUE,10003,A
50011722,OLD TBILISI,Manhattan,BLEECKER STREET,10012,A
50086573,MIKES DELI,Bronx,ARTHUR AVENUE,10458,B
40879743,NEGRIL,Manhattan,WEST    3 STREET,10012,B
41278206,SWEDISH FOOTBALL CLUB,Brooklyn,65 STREET,11220,A
50038120,SHUN WON FLUSHING,Queens,MAIN ST,11355,B
41539993,FU MUN LOU,Brooklyn,8 AVENUE,11220,A
50038802,REGO PARK COFFEE SHOP,Queens,63RD DR,11374,A
50088951,RICO POLLO #1,Queens,MYRTLE AVE,11385,B
50014052,RED LOBSTER,Brooklyn,GATEWAY DRIVE,11239,A
41703394,PIONEERS BAR & LOUNGE,Manhattan,WEST   29 STREET,10001,B
40364335,PETER LUGER STEAKHOUSE,Brooklyn,BROADWAY,11211,A
41702607,CHIPOTLE MEXICAN GRILL,Queens,AUSTIN STREET,11375,A
50080319,LOMBARDI'S,Manhattan,8 AVENUE,10001,A
41692902,STRIP HOUSE,Manhattan,WEST   44 STREET,10036,A
50018303,DUNKIN DONUTS,Manhattan,WEST  104 STREET,10025,A
50037659,XSTASY BAR & LOUNGE,Brooklyn,5 AVENUE,11232,B
50013900,SUN HING,Brooklyn,WILLMOHR STREET,11212,A
41421846,DUNKIN DONUTS,Brooklyn,BUSHWICK AVENUE,11207,A
50063750,THE CORNER SPOT,Queens,STEINWAY ST,11105,A
41396654,KETAL ONE LOUNGE INSEAT PANTRY IB,Bronx,EAST  161 STREET,10451,A
50101046,SWEETORIES,Queens,ROOSEVELT AVE,11372,N
41377107,CAFE CON LECHE,Queens,ROOSEVELT AVENUE,11368,A
50069167,RICE THAI,Brooklyn,7 AVENUE,11215,B
50071316,Rincon Melania's,Queens,QUEENS BLVD,11101,A
50085705,JOHN'S FRIED CHICKEN,Manhattan,BROADWAY,10032,C
41688265,BARCLAYS UPPER SUITE STOLI BAR AND STORAGE ROOM 5C29.03,Brooklyn,ATLANTIC AVENUE,11217,A
50001956,GOLDEN FOUNTAIN RESTAURANT,Bronx,BAYCHESTER AVENUE,10466,A
41582708,CANTINA MEXICANA,Staten Island,NEW DORP LANE,10306,A
50015898,DAIRY QUEEN GRILL & CHILL,Bronx,BAYCHESTER AVENUE,10475,A
50046291,BITE,Manhattan,WEST   22 STREET,10010,A
41117663,RIVIERA,Queens,STEINWAY STREET,11101,A
50059059,ORALE TACOS,Queens,30TH AVE,11102,A
41387444,FAVELA CUBANA,Manhattan,LA GUARDIA PLACE,10012,A
50046405,MUGHLAI INDIAN CUISINE,Manhattan,3 AVENUE,10010,A
50046117,ASIAN GARDEN L & Y,Queens,JAMAICA AVE,11421,A
50069594,Tomato & Pesto Pizzeria,Queens,QUEENS BLVD,11374,P
40995563,LEGEND COOKHOUSE,Queens,ROCKAWAY BOULEVARD,11420,C
50034022,CAFE BARI,Manhattan,CANAL STREET,10013,A
50085861,FRADEI,Brooklyn,SOUTH PORTLAND AVENUE,11217,A
50071282,GOTTA GETTA PIZZA,Bronx,TOWNSEND AVENUE,10453,A
41100544,CAFE 101(Coffee Stand),Brooklyn,CLARKSON AVENUE,11203,A
50099732,HYATT HERALD SQUARE,Manhattan,WEST   31 STREET,10001,A
41470873,SOMETHING GREEK,Brooklyn,3 AVENUE,11209,A
41011016,STARBUCKS COFFEE,Manhattan,AVENUE OF THE AMERICAS,10019,A
50032584,YAN KEE BEEF JERKY,Manhattan,CANAL STREET,10002,A
41641276,TABOONETTE,Manhattan,EAST   13 STREET,10003,A
50069837,WASABI SUSHI & BENTO,Manhattan,PENN PLZ CONCOURSE LEVEL,10119,A
41271899,MACRI PARK,Brooklyn,UNION AVENUE,11211,A
40401556,HEIGHTS CAFE,Brooklyn,MONTAGUE STREET,11201,A
41144476,BURGER KING,Brooklyn,FLATBUSH AVENUE,11226,A
50070132,FIVE AND DIME,Manhattan,PARK PLACE,10007,A
41415498,LOT 2,Brooklyn,6 AVENUE,11215,A
50006323,LA ISLA RESTAURANT,Brooklyn,MYRTLE AVENUE,11237,B
50087245,DA TANG SZECHUAN,Manhattan,WEST   38 STREET,10018,A
40751057,THE WILD GOOSE,Queens,ROOSEVELT AVENUE,11377,B
50018903,NORTHERN TIGER,Manhattan,LIBERTY STREET,10280,A
50059778,EMMY SQUARED,Brooklyn,GRAND STREET,11211,C
41277461,ANTONIO'S RESTAURANT,Bronx,EAST  167 STREET,10456,B
41499313,YI HONG RESTAURANT,Brooklyn,AVENUE L,11236,B
41470237,RUINAS DE COPAN,Bronx,BROOK AVENUE,10455,A
50075118,CON SABOR A MEXICO,Manhattan,WEST  181 STREET,10033,A
50016658,NY PIZZA GRILL & CAFE,Queens,SUTPHIN BOULEVARD,11435,Z
50044549,PANDA HOUSE,Brooklyn,CONDUIT BOULEVARD,11208,A
50011200,4TH DOWN,Brooklyn,GRAND STREET,11211,B
50048546,THAILAND CAFE,Manhattan,2 AVENUE,10003,A
41532206,TASTE GOOD MALAYSIAN CUISINE,Queens,45 AVENUE,11373,A
50017049,NEW PANDA RESTAURANT,Bronx,3 AVENUE,10451,A
40534893,THE GREAT BURRITO MEXICAN KITCHEN,Manhattan,AMSTERDAM AVENUE,10024,A
50041617,ITTADI GARDEN & GRILL,Queens,37TH RD,11372,A
50002057,GRITO MEXICAN GRILL,Manhattan,ST NICHOLAS AVENUE,10040,A
50000468,TEXAS CHICKEN & BURGERS,Bronx,WILLIS AVENUE,10455,A
41013992,MCDONALD'S,Bronx,BRUCKNER BOULEVARD,10472,A
50091910,TASTE YUMMY,Brooklyn,47 STREET,11220,A
40937824,CAFE ALICE,Manhattan,EAST   47 STREET,10017,A
50042336,J & M KELLYS JAMAICAN & AMERICAN RESTAURANT,Queens,GUY R BREWER BLVD,11434,A
41430578,GOODFELLA'S,Bronx,WALDO AVENUE,10463,A
50016246,DIG INN SEASONAL MARKET,Manhattan,BROADWAY,10001,A
40388225,HOLLAND BAR,Manhattan,9 AVENUE,10018,A
50056753,UPSIDE CRAFT BURGERS,Brooklyn,18 AVENUE,11218,A
50065949,MI ARMADILLO GRANDE,Staten Island,CASTLETON AVENUE,10302,B
50077411,MISTER CHICKEN II,Queens,21ST ST,11101,A
50089288,SPRING CAFE,Manhattan,CENTRE STREET,10013,A
41237165,TRE,Manhattan,LUDLOW STREET,10002,A
50033252,CAFE ROCHELLE,Brooklyn,MANHATTAN AVENUE,11222,C
50057793,ORCHARD GROCER,Manhattan,ORCHARD STREET,10002,A
50091271,CITY EATS,Manhattan,2 AVENUE,10022,N
50075001,BEST WINGERS,Manhattan,DELANCEY STREET,10002,A
50078479,MR MANGU'S KITCHEN,Manhattan,SAINT NICHOLAS AVENUE,10033,A
50015892,LA SALA,Queens,CRESCENT STREET,11106,A
41710647,CANARSIE COFFEE,Brooklyn,ROCKAWAY PARKWAY,11236,A
41197487,HEARST CORPORATION EDR,Manhattan,WEST   57 STREET,10019,A
50073554,SCARPETTA,Manhattan,EAST   29 STREET,10016,A
50000995,THE MEATBALL SHOP,Manhattan,2 AVENUE,10075,A
41110462,J & R PIZZERIA NO. 2,Staten Island,MCCLEAN AVENUE,10305,A
40576812,BEL-AIRE DINER,Queens,21 STREET,11106,B
41496204,ALITALIA PIZZA RESTAURANT,Bronx,EAST TREMONT AVENUE,10460,A
41631799,PARM,Manhattan,MULBERRY STREET,10012,A
50082808,SKY55 BAR AND GRILL,Manhattan,WATER STREET,10041,A
41428588,DUNKIN DONUTS,Brooklyn,AVENUE K,11234,A
50085751,WASABI,Brooklyn,MANHATTAN AVENUE,11222,A
50011835,TUOME,Manhattan,EAST    5 STREET,10009,A
50038716,SUBWAY,Manhattan,2 AVENUE,10017,A
50016155,PINKS,Manhattan,EAST   10 STREET,10003,A
50018258,SABOR DE CUBA,Queens,31ST AVE,11103,A
41368444,ANGELA'S SANDWICH SHOP,Manhattan,6 AVENUE,10019,B
41655257,ROSEN'S CAFE,Manhattan,BROADWAY,10004,A
40366109,FIFTH AVENUE BINGO,Brooklyn,5 AVENUE,11215,A
50064520,IZZY'S BBQ SMOKEHOUSE,Brooklyn,TROY AVENUE,11213,A
50045727,LENWICH,Manhattan,2 AVENUE,10075,A
50001754,RINCON LATINO RESTAURANT,Bronx,WHITE PLAINS ROAD,10466,A
50087131,VICTORIA G'S PIZZERIA,Queens,METROPOLITAN AVE,11374,A
50064937,KENNEDY FRIED CHICKEN,Bronx,LEGGETT AVENUE,10455,A
50056257,YIA YIA,Manhattan,EAST   69 STREET,10021,A
41372091,GOSSIPS,Manhattan,9 AVENUE,10019,A
40864145,TIMES DELI & CAFE,Manhattan,WEST   44 STREET,10036,A
41391463,BOBBY VAN'S GRILL,Queens,JFK INT'L AIRPORT,11430,A
50063168,FLOATING MOUNTAIN,Manhattan,WEST   72 STREET,10023,A
41705335,WEST 8 HAPPY WOK,Brooklyn,WEST    8 STREET,11224,A
50010233,EL PUNTO COLUMBIANO RESTAURANTE BAKERY,Queens,COLLEGE POINT BLVD,11356,A
50014124,EVERGREEN ON 38,Manhattan,EAST   38 STREET,10016,A
50000972,BRASSERIE COGNAC EAST,Manhattan,LEXINGTON AVENUE,10021,A
50073234,3 BROS 99 CENT PIZZA,Queens,STEINWAY ST,11103,B
50074381,NUNOODLE,Manhattan,1 AVENUE,10009,A
50099289,WILSON LIVES,Brooklyn,SOUTH    1 STREET,11211,A
50070280,China One NY,Queens,160TH ST,11433,A
50057879,GOLDEN LION DELI,Queens,JAMAICA AVE,11418,A
50069153,MEXICOCIANA,Bronx,JACKSON AVENUE,10455,A
41713587,SWEETLEAF,Queens,CENTER BOULEVARD,11109,A
50098277,EL GUACAMOLE TEX-MEX,Queens,ROOSEVELT AVENUE,11377,N
41016740,SATGURU SWEETS & CATERING,Queens,ROCKAWAY BOULEVARD,11420,A
50081684,BB JUICE BAR,Bronx,EAST  149 STREET,10455,A
50086053,AU JUS,Brooklyn,WASHINGTON AVENUE,11238,A
40911611,S.R. DELI GROCERY,Queens,43 AVENUE,11373,A
40793607,CAFE SPICE,Manhattan,GRAND CENTRAL TERMINAL,10017,A
41441583,KAPAMILYA,Queens,ROOSEVELT AVENUE,11377,B
50100388,77 WEST BISTRO,Manhattan,WEST   66 STREET,10023,A
40541030,BASTA PASTA RESTAURANT,Manhattan,WEST   17 STREET,10011,A
41021991,EXTRA VIRGIN,Manhattan,WEST    4 STREET,10014,A
50089189,DUNKIN DONUTS,Manhattan,EAST   14 STREET,10003,A
50088927,LUM DEE THAI CUISINE,Brooklyn,COLUMBIA STREET,11231,A
41184697,"CHORUS MUSIC STUDIO, CHORUS KARAOKE LOUNGE BAR",Manhattan,WEST   32 STREET,10001,A
50104786,HORN'S HOOK TAVERN,Manhattan,1 AVENUE,10028,N
41194925,APHRODITES SWEETS,Queens,FRANCIS LEWIS BOULEVARD,11357,A
50012381,"SUNRISE, SUNSET",Brooklyn,EVERGREEN AVENUE,11221,A
50081720,COOKIES AND CREAM PASTRY SHOP,Queens,METROPOLITAN AVE,11415,A
41197747,BEST COFFEE SHOP,Staten Island,WATER STREET,10304,A
50065358,ANDIAMO CAFE,Bronx,GRAND CONCOURSE,10468,A
50047001,KENNEDY FRIED CHICKEN,Brooklyn,FLATBUSH AVENUE,11210,A
50103793,MARGARI PIZZA CORP,Manhattan,2 AVENUE,10022,N
41308512,DAMASCUS BREAD & BAKERY,Brooklyn,ATLANTIC AVENUE,11201,A
