Claim Number,Restaurant Name,Borough Code,Address1,ZIPCODE,GRADE
50058321,SUMA PIZZA,Bronx,EAST  161 STREET,10451,A
50055977,2123 FRESH TORTILLAS,Bronx,WILLIAMSBRIDGE ROAD,10461,A
50037560,SUMI SUSHI,Brooklyn,FLATBUSH AVENUE,11217,A
41458617,RED RIBBON BAKESHOP,Queens,ROOSEVELT AVENUE,11377,A
41435697,FRANK'S TAVERN,Brooklyn,AVENUE N,11234,A
40869272,FINESTRA,Manhattan,YORK AVENUE,10021,A
50063020,LITTLE ITALY PIZZA,Manhattan,6 AVENUE,10010,A
41183237,809 GRILL & BAR RESTAURANT,Manhattan,DYCKMAN STREET,10040,A
50075808,SHERIDAN MARKET,Bronx,EAST  161 STREET,10451,A
50011891,TWO HANDS,Manhattan,MOTT STREET,10013,A
50079007,MILE END DELICATESSEN,Brooklyn,HOYT STREET,11217,P
50034506,MCDONALD'S,Brooklyn,FLATLANDS AVENUE,11236,A
50077477,KENNEDY FRIED CHICKEN,Bronx,JEROME AVENUE,10468,A
50085211,PATACON PISAO,Manhattan,ESSEX STREET,10002,A
50080978,MARIANNA'S PIZZA,Staten Island,HOLDEN BOULEVARD,10314,A
50051129,ATOBOY,Manhattan,EAST   28 STREET,10016,A
40849504,BOULEVARD TAVERN,Staten Island,HYLAN BOULEVARD,10312,A
50048351,YERAS RESTAURANT SPORTS BAR,Queens,NORTHERN BLVD,11372,C
41451984,FAITHY'S KITCHEN,Bronx,DYRE AVENUE,10466,A
41604710,LITTLE CAESARS,Bronx,DECATUR AVENUE,10458,A
50051187,LUNA ASIAN BISTRO & LOUNGE,Queens,STEINWAY ST,11103,A
50070817,MI TLAXCALITA MEXICAN CUISINE,Brooklyn,MYRTLE AVENUE,11237,A
50094711,CHAMPIGNON,Manhattan,7 AVENUE,10011,A
41620680,THE SMITH,Manhattan,2 AVENUE,10022,A
50085352,RAICES,Manhattan,WEST  207 STREET,10034,A
50001583,GREEK XPRESS,Brooklyn,PROSPECT PARK WEST,11215,A
41700207,IVY,Manhattan,8 AVENUE,10019,A
50073152,LOCAL POURHOUSE,Queens,41ST AVE,11361,C
50083955,CHEONG HEI RESTAURANT,Queens,BAXTER AVE,11373,P
50060613,TASTY HOUSE,Brooklyn,AVENUE U,11223,A
40592981,FLUTE,Manhattan,WEST   54 STREET,10019,A
50093719,WU & NUSSBAUM,Manhattan,BROADWAY,10025,A
50087598,MADROCK,Manhattan,10 AVENUE,10019,A
50102969,LAURENTINO'S PASTICCERIA & CAFFE,Manhattan,5 AVENUE,10019,A
50062985,SHIPWRECKED MINIATURE GOLF,Brooklyn,COURT STREET,11231,A
50058592,HOTEL RL,Brooklyn,BROADWAY,11221,A
50003498,BLACK FOREST BROOKLYN,Brooklyn,FULTON STREET,11217,B
50090617,3 MEALS WEST INDIAN RESTAURANT,Brooklyn,SAINT JOHNS PLACE,11233,A
41614624,ISLAND COFFEE SHOP,Staten Island,MANOR ROAD,10314,A
50001114,PICK A BAGEL,Manhattan,LEXINGTON AVENUE,10075,A
41348054,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,DYRE AVENUE,10466,A
41061861,ROCKMEISHA,Manhattan,BARROW STREET,10014,A
50098206,BENJYS KOSHER PIZZA,Queens,MAIN ST,11367,A
50077828,GOOD MORNING BROOKLYN,Brooklyn,WYCKOFF AVENUE,11237,P
50054576,BURGER KING,Manhattan,7 AVENUE,10018,A
40980061,JOHNY'S LUNCHEONETTE,Bronx,EAST GUN HILL ROAD,10467,A
41541660,KRISPY KREME,Manhattan,PENN PLAZA,10121,A
41361120,SOFIA PIZZA RESTAURANT,Brooklyn,CONEY ISLAND AVENUE,11235,P
50077025,REMEDY LOUNGE & CAFE,Queens,UNION TPKE,11426,A
50072794,CAFECCINO,Bronx,WEST  231 STREET,10463,A
40939208,SUGARCANE,Brooklyn,FLATBUSH AVENUE,11217,A
50080782,CANTEEN M & COFFEE M,Manhattan,BOWERY,10002,A
50046505,LE BAOBAB GOUYGI II RESTAURANT,Brooklyn,FULTON STREET,11216,A
41225880,BENNY'S PIZZA RESTAURANT,Queens,HILLSIDE AVENUE,11432,A
50033020,VILLA CEMITA,Manhattan,AVENUE A,10009,C
50072165,NO. 1 YUMMY TACO,Queens,UNION TPKE,11367,A
50095376,BROOKLYN'S BEST,Brooklyn,HILLEL PLACE,11210,A
50015968,MIDWOOD FLATS,Brooklyn,FLATBUSH AVENUE,11225,B
50070020,TANDIR ROKHAT,Brooklyn,CONEY ISLAND AVENUE,11235,A
50044787,VICTOR BAR AND RESTAURANT,Queens,FOREST AVE,11385,A
50085826,FUTURE YOU CAFE,Manhattan,EAST    7 STREET,10009,A
50017198,PECAS Y ALGO MAS,Queens,GREENPOINT AVE,11104,A
50019134,DUNKIN DONUTS,Brooklyn,5 AVENUE,11232,A
50039683,PICK UP SIX FRESH FAST ASIAN KITCHEN,Bronx,WEST  230 STREET,10463,B
50009452,TACOMBI,Manhattan,WEST   24 STREET,10010,A
50057826,CACHAPAS Y MAS,Queens,SENECA AVENUE,11385,A
41572079,MI RANCHITO MEXICAN RESTAURANT,Manhattan,ST NICHOLAS AVENUE,10033,A
50045530,YUKA RESTAURANT,Manhattan,2 AVENUE,10028,A
50035434,ATLANTIC CAFE,Queens,ROOSEVELT AVE,11372,A
41615913,ROMANIAN GARDEN,Queens,43 AVE,11104,C
50106630,DOMENICK'S PIZZA,Queens,SUTPHIN BLVD,11435,Z
41511573,BETTER GOURMET HEALTH KITCHEN,Staten Island,HYLAN BOULEVARD,10306,A
40398434,CURRY IN A HURRY,Manhattan,LEXINGTON AVENUE,10016,P
41044592,AWASH ETHIOPIAN RESTAURANT,Manhattan,EAST    6 STREET,10003,A
41561516,OBAO,Manhattan,9 AVENUE,10036,A
50085130,RAMEN DANBO,Brooklyn,7 AVENUE,11217,A
41650474,SUBWAY,Brooklyn,FLATBUSH AVENUE,11217,P
50075251,THE GRAHAM,Brooklyn,MESEROLE STREET,11206,A
50071845,CIRCLE LINE STATEN ISLAND,Manhattan,W 42ND ST @ HUDSON RIVER,10036,A
50093185,Dumpling House,Queens,JAMAICA AVE,11421,A
50053579,KANSAS CHICKEN & BURGER,Brooklyn,RUTLAND ROAD,11212,B
50082357,ERIS,Brooklyn,GRAHAM AVENUE,11206,A
41276130,EL TEQUILA,Queens,BAXTER AVENUE,11373,A
50043782,BOW RAMEN,Manhattan,EAST   45 STREET,10017,B
50018449,SPRING FISH VILLAGE,Queens,41ST AVE,11355,B
50015835,KAPPO MASA,Manhattan,MADISON AVENUE,10075,A
50070177,JUNIOR'S FRESH,Manhattan,BROADWAY,10033,B
50090565,DAN AND JOHNS WINGS,Manhattan,3 AVENUE,10016,A
50005849,PINK NORI,Queens,30TH AVE,11103,A
50080195,Miss Dong Burger,Brooklyn,54 STREET,11220,A
50081577,PENGUIN ICE CREAM,Manhattan,CANAL STREET,10013,A
50006206,HUMMUS KITCHEN,Manhattan,9 AVENUE,10019,A
50065978,NEW CHINA,Brooklyn,11 AVENUE,11219,A
40914459,VILLAGE UNDERGROUND,Manhattan,WEST    3 STREET,10012,A
50105973,TOOFY DUCK,Queens,ROOSEVELT AVE,11354,A
50070867,PANZEROTTI BITES,Brooklyn,SMITH STREET,11231,A
50072887,KIM PO,Queens,FARMERS BLVD,11412,A
50076035,JUNKO SUSHI,Queens,43RD AVE,11104,A
41622635,JUST MADE 4 U,Queens,37 AVENUE,11372,A
50032885,COFFEE 39,Manhattan,WEST   31 STREET,10001,A
40886422,THE BEST ITALIAN PIZZA,Bronx,EAST  149 STREET,10455,B
50071329,BROOKLYN SHAWARMA,Brooklyn,FULTON STREET,11238,C
41386642,RADIO STAR,Manhattan,WEST   35 STREET,10001,A
50081256,AUNT MAE'S,Brooklyn,3 AVENUE,11232,B
50075705,LA TRANQUILITE RESTAURANT INC,Brooklyn,AVENUE L,11236,A
41219793,THE MONKEY ROOM,Manhattan,FORT WASHINGTON AVENUE,10033,A
41360895,NINTH STREET ESPRESSO,Manhattan,EAST   10 STREET,10009,A
41015818,BOZU,Brooklyn,GRAND STREET,11211,A
41106233,ROSA MEXICANO,Manhattan,EAST   18 STREET,10003,A
50093252,STATEN ISLAND DINER,Staten Island,RICHMOND TERRACE,10301,A
50046567,PRINCE COFFEE HOUSE,Bronx,ARTHUR AVENUE,10458,P
50070804,PITA PAN,Queens,30TH AVE,11103,A
50064416,Jian Bing Company (DEKALB MARKET),Brooklyn,ALBEE SQUARE WEST,11201,A
41547788,PETROSSIAN BOUTIQUE & CAFE,Manhattan,7 AVENUE,10019,A
50083319,SHIMA SUSHI,Manhattan,EAST   51 STREET,10022,A
40980389,THE GRAFTON PUBLIC HOUSE,Manhattan,1 AVENUE,10009,A
50084066,FRANKIES CAFE,Manhattan,EAST   70 STREET,10021,A
50051258,TASTI-D-LITE,Manhattan,1 AVENUE,10021,A
50100916,BAR GOTO NIBAN,Brooklyn,BERGEN STREET,11217,N
50102856,RAINBOW DIM SUM,Queens,BROADWAY,11373,A
