hotel_property_id,Postcode,owner_id,Borough Code,Latitude,Longitude,address_id
195,10457,51,2,40.850329,-73.899373,90
196,10457,31,2,40.850281,-73.89839,91
197,11217,39,3,40.687864,-73.984181,43
198,11201,46,3,40.699821,-73.9956,92
199,11232,42,3,40.646778,-73.996461,93
200,11233,10,3,40.668443,-73.921312,48
201,11221,1,3,40.693748,-73.930788,49
202,11221,215,3,40.693748,-73.930788,49
203,11221,164,3,40.691882,-73.927487,94
204,11216,5,3,40.678533,-73.950961,50
205,11216,7,3,40.678287,-73.94622,95
206,11211,24,3,40.715563,-73.952615,96
207,11211,30,3,40.712887,-73.952811,97
208,11211,175,3,40.707131,-73.951841,52
209,11211,115,3,40.712966,-73.938671,53
210,11206,18,3,40.705057,-73.936587,98
211,11212,6,3,40.669327,-73.909664,99
212,11207,38,3,40.676357,-73.89801,100
213,11207,23,3,40.677641,-73.894251,101
214,11207,109,3,40.667082,-73.899963,55
215,11208,57,3,40.67987,-73.877904,102
216,11226,93,3,40.646148,-73.958094,56
217,11226,85,3,40.646695,-73.953723,103
218,11224,148,3,40.578468,-73.989614,104
219,11223,18,3,40.600248,-73.961346,105
220,11234,126,3,40.637299,-73.92626,106
221,11101,19,4,40.745914,-73.945382,107
222,11101,94,4,40.744749,-73.932269,108
223,11101,137,4,40.750749,-73.936637,109
224,11101,37,4,40.758028,-73.942005,110
225,11101,29,4,40.758083,-73.941979,111
226,11101,29,4,40.758078,-73.941983,112
227,11102,26,4,40.766429,-73.921752,113
228,11369,52,4,40.768801,-73.868315,59
229,11368,178,4,40.754777,-73.85375,114
230,11368,139,4,40.752049,-73.854229,61
231,11354,162,4,40.768927,-73.832415,62
232,11354,150,4,40.764242,-73.832712,115
233,11354,67,4,40.762168,-73.833111,116
234,11354,97,4,40.760612,-73.833642,117
235,11435,12,4,40.692753,-73.808688,64
236,11435,207,4,40.697436,-73.805263,118
237,11435,133,4,40.692296,-73.809479,119
238,11433,149,4,40.703771,-73.797652,120
239,11429,17,4,40.717577,-73.737406,121
240,11436,8,4,40.668211,-73.796888,122
241,11436,8,4,40.667929,-73.797108,123
242,11434,76,4,40.668119,-73.781153,66
243,11691,119,4,40.60397,-73.754739,67
244,10305,192,5,40.597368,-74.084913,69
