hotel_id,name,city,postal_code,latitude,longitude,star_rating,high_rate,low_rate,address_id
377242,YOTEL New York at Times Square,New York,10036,40.75918,-73.9958,4,429,259,937
324037,Four Points by Sheraton Midtown-Times Square,New York,10018,40.75659,-73.99224,3.5,460.77,286.48,938
219447,Shelburne NYC-an Affinia hotel,New York,10016,40.74848,-73.9782,4,369.08,149.04,939
439332,Viceroy Central Park New York,New York,10019,40.76479,-73.97831,5,779.08,209.27,940
321582,Staybridge Suites Times Square,New York,10018,40.75673,-73.99261,3.5,359.2,252.16,941
125729,Empire Hotel,New York,10023,40.77158,-73.9826,4,230.64,229.64,942
163794,The Iroquois New York,New York,10036,40.7557,-73.98211,4,649.0596,399.0207,943
124901,The Lucerne Hotel,New York,10024,40.7833,-73.97866,4,349.36,249.16,944
414769,Hyatt Place New York Midtown South,New York,10018,40.75058,-73.98567,3.5,320.16,319.16,945
117801,The Mansfield Hotel,New York,10036,40.75518,-73.981,4,325,324,946
115902,New York Marriott Marquis,New York,10036,40.75823,-73.98546,4.5,640.41,310.41,947
150310,NYLO New York City,New York,10024,40.78225,-73.98025,4,158.934,108.9535,948
438712,Residence Inn New York Manhattan/Central Park,New York,10019,40.76427,-73.98245,3.5,444.01,339.01,949
262491,Hampton Inn Manhattan Soho,New York,10013,40.72366,-74.00533,3,419.05,134.13,950
339013,Kimpton Hotel Eventi,New York,10001,40.74719,-73.9897,5,699.17,499.17,951
121657,Travel Inn Hotel,New York,10036,40.75993,-73.99612,2.5,161.4,160.4,952
324226,Andaz Wall Street - a concept by Hyatt,New York,10005,40.70503,-74.00762,4.5,292.1304,242.1499,953
203969,The Premier New York Times Square,New York,10036,40.75671,-73.98448,4.5,329.24,215.19,954
344720,The Nolitan,New York,10012,40.72072,-73.99526,3.5,215.49,200.49,955
198937,The Kimberly Hotel & Suites,New York,10022,40.75614,-73.97151,4,1650.2533,188.286,956
114218,Park Lane Hotel,New York,10019,40.76522,-73.97516,4,324.11,159.06,957
348293,NoMo SoHo,New York,10013,40.71992,-74.0003,4.5,945.19,375.18,958
340156,InterContinental - New York Times Square,New York,10036,40.75874,-73.98932,4.5,789.17,369.15,959
202307,"The Renwick Hotel New York City, Curio Collection by Hilton",New York,10016,40.75036,-73.97747,4,409.47,199.47,960
163790,Hampton Inn Times Square North,New York,10019,40.76323,-73.98545,3,439.04,158.86,961
275398,Four Points by Sheraton Manhattan SoHo Village,New York,10013,40.72718,-74.00601,3.5,460.74,310.71,962
432739,Courtyard New York Manhattan/Times Square West,New York,10018,40.75435,-73.99268,3.5,399.06,259.04,963
126896,The Tuscany - A St Giles Signature Hotel,New York,10016,40.74981,-73.97808,4,374.14,274,964
